Numero da Peca,Descricao,Quantidade,Localizacao
A  9463510072,"PORCA - M55X1,5",2,20H12
A  9463530024,ARRUELAS ESFERICAS,4,04D17
A  9463530062,ARRUELA DE PRESSAO,3,03G06
A  9463560127,CHAPA RETENTORA DE OLEO D=174,10,16B04
A  9469970145,ANEL DE VEDACAO INTERNO DO CUBO DA RODA,1,02A04
A  9472601657,LU VALVULA DE COMANDO PNEUMATICA,2,06B08
A  9472601945,CJ CONE HOMOCINETICO,2,22E16
A  9472603036,CJ ANEL SINCRONIZADOR,3,13E02
A  9472603045,CJ ANEL SINCRONIZADOR D226,2,06E12
A  9472603545,CJ CONE SINCRONIZADOR D199,7,28B09
A  9472605145,CONJ CONE SINCRONIZADOR,1,06E09
A  9472609661,SUPORTE DE PLANETARIA,1,ESTRADO 4
A  9472650249,PECA DESLIZANTE (NIQUEL E COBRE),10,23G18
A  9472691301,CARCACA DA BOMBA DO OLEO,3,23B13
A  9473250050,BUCHA,2,21E25
A  9483502805,BRACO DE GUIA,1,ESTRADO 6
A  9483530162,ARRUELA DISTANCIADORA,1,01C18
A  9493200173,MANCAL CAVALETE CENTRAL DA MOLA DIANTEI.,6,21A22
A  9493250050,BUCHA DA HASTE NA ALAVANCA,1,19C14
A  9494660681,MANGUEIRA DE ASPIRACAO NO RESEV.OLEO,3,19B06
A  9505010093,MANGUEIRA/TUBULACAO RETARDER LAT.MOTOR,1,06B09
A  95824110130098,COXIM DO MOTOR,2,11A17
A  95824112130097,COXIM DO MOTOR,2,11E12
A  95824126130098,COXIM DO MOTOR,2,11F09
A  9582413013,COXIM DO MOTOR,1,13A02
A  9582413213,CONJUNTO COXIM DO MOTOR,1,22B08
A  9582413413,CJ COXIM DO MOTOR - METAL COM BORRACHA,4,ESTRADO 4
A  9582603285,DUTO DE OLEO,1,30
A  9582603385,DUTO DE OLEO,1,30
A  9582680042,PUNHO DA ALAVANCA DE MUDANCA,6,16A32
A  9582680189,"TERMINAL ESFERICO M14 X 1,5 - ACO",1,05E08
A  9582680389,ARTICULACAO ESFERICA,4,16B02
A  9583100958,CJ. SUPORTE TRASEIRO,3,29C05
A  9583170125,ARCO DE FIXACAO,1,21H14
A  9583171003,AMORTECEDOR TRASEIRO,1,22H16
A  9583172103,AMORTECEDOR LATERAL TRASEIRO CABINA,1,21G09
A  9583200044,LU ELEMENTO DE COXIM,5,03B05
A  9583200444,ELEMENTO DE COXIM,2,04F17
A  9583201102,CONJUNTO MOLA PARABOLICA DIANTEIRA,1,ESTRADO 0
A  9583201594,CJ.FOLHA DE MOLA N? 1 COM BUCHA,1,ESTRADO 0
A  9583230085,BUCHA DA ALGEMA,2,04C17
A  9584001102,LU RODA,2,ESTRADO 0
A  9584200544,JOGO DE PECAS CHAPA PROTETORA,1,13B01
A  9584200938,CONJUNTO REGULADOR DE HASTES DIREITO,1,20G18
A  9584203829,CJ TUBULACAO DE AR COMPRIMIDO,1,30
A  9584208937,CONJUNTO TUBULACAO DE AR,1,30
A  9584230071,PARAF.M8X85 P/FIXACAO RESERVATORIOS HTC,5,21C08
A  9584230171,PINO ROSCADO,4,04H03
A  9584230271,PINO FACETADO,4,16A15
A  9584290044,LU VALVULA 3/2,1,20D22
A  9584292740,SUPORTE,4,19H17
A  9584292840,SUPORTE,1,13C05
A  9584320421,CINTA DE FIXACAO/RESERVATORIO DE AR D144,1,23F06
A  9584380929,DUTO TUBULAR DE ACO DO RADIADOR,2,14C10
A  9584462221,INSTRUMENTO COBINADO INS 2014,1,27C01
A  9584630010,ALAVANCA INTERMEDIARIA DA DIRECAO,1,27B02
A  9584700090,FILTRO DE COMBUSTIVEL,1,28E03
A  9584700204,LU RESERVATORIO DE COMBUSTIVEL / 300 L,1,ESTRADO 0
A  9584750084,CALCO - BORRACHA,1,07B04
A  9584750984,CALCO DE ACO DA CINTA DE FIXACAO,2,16D17
A  9584760032,VALVULA DE RESPIRO DO COMBUSTIVEL-NYLON,2,20H02
A  9584770015,ELEMENTO DO FILTRO DE COMBUSTIVEL,7,29B03
A  9584770115,ELEMENTO DO FILTRO DE COMBUSTIVEL,14,28A06
A  9585010682,LU MANGUEIRA PRE-FORMADA,2,18A12
A  9585010882,LU MANGUEIRA PRE-FORMADA,2,19F01
A  95850109820097,MANGUEIRA PRE-FORMADA,2,SL
A  9585011582,MANGUEIRA PRE-FORMADA.,1,30
A  9585012482,MANGUEIRA PRE-FORMADA (BORRACHA),1,16A11
A  95850132820097,MANGUEIRA DE INTERCOOLER VERMELHA,9,11E09
A  95850133820097,MANGUEIRA DE INTERCOOLER PRETA,2,11D06
A  95850135820097,MANGUEIRA DE INTERCOOLER,3,11D12
A  9585040112,COXIM DO RADIADOR,1,04A20
A  9585050255,LU DEFLETOR DE AR,1,30
A  9585200686,TUBULACAO DE AR SANFONADA DE BORRACHA,3,17A08
A  9585201423,CJ ENCAPSULAMENTO CONTRA RUIDOS COMPL.,1,30
A  95852093810098,MASCARA INTERNA REFORCO SUP CAPTACAO,1,11A03
A  9585210301,PARA-LAMA DIANT,1,30
A  9585280108,LU CANAL DE AR,1,06D02
A  9585280707,TUBO DE AR SUJO,1,13A03
A  9585280806,ELEMENTO DE FILTRO DE AR,19,ESTRADO 6
A  95852808060092,FILTRO DE AR,18,ESTRADO 6
A  9585280906,ELEMENTO DO FILTRO DE AR,3,ESTRADO 6
A  9585281782,MANGUEIRA DE AR,3,22D04
A  9585282482,MANGUEIRA DE AR LIMPO,9,ESTRADO 6
A  9585410003,LU TAMPA,1,30
A  9585420517,MEDIDOR DE NIVEL DE COMBUSTIVEL,1,SL
A  9585420717,SENSOR DO DIFERENCIAL,2,16D29
A  9585440009,LUZ DE ALERTA / INTERR SEPARADOR BATERIA,5,20I22
A  9585450004,CJ BOTAO E CAPA P/ INTERRUPTOR GIRATORIO,1,16F19
A  95854501080097,CHAVE GERAL DA BATERIA,2,12A09
A  9585450207,INTERRUPTOR FAROL DE NEBLINA,1,04D11
A  9585450209,INTERRUPTOR DA LUZ DO FREIO,2,20A24
A  9585450309,INTERRUPTOR DA LUZ DO FREIO,1,04D08
A  9585452107,INTERRUPTOR BASCULANTE,1,06H07
A  9585530605,CILINDRO ACO SISTEMA HIDRAULICO CABINA,1,17H02
A  9587251166,VEDACAO JANELA ESQ  EXT,1,30
A  9588100037,LU ESCORA - ACO,1,14A05
A  9588104316,LU ESPELHO EXT ESQ,2,ESTRADO 5
A  9588171514,FAIXA DECORATIVA PORTA ESQ (ADESIVO),1,VIDROS
A  9588171614,FAIXA DECORATIVA PORTA DIR (ADESIVA),2,VIDROS
A  9588171714,FAIXA DECORATIVA FRONTAL (ADESIVA),3,16C13
A  9588171814,FAIXA DECORATIVA LATERAL ESQ,1,VIDROS
A  9588171914,FAIXA DECORATIVA LATERAL DIR,3,VIDROS
A  9588200045,PALHETA DO LIMPADOR - ACO,6,17C05
A  9588200256,FAROL DE NEBLINA ESQ,1,09E03
A  9588200356,FAROL DE NEBLINA DIR,1,20A11
A  9588300915,TUBO DO AGENTE DE REFRIGERACAO,5,21E09
A  9588301515,TUBO DO AGENTE DE REFRIGERACAO,1,18E11
A  9588320215,TUBO DO AGENTE DE REFIGERACAO,2,30
A  9588320315,LU TUBULACAO DO MEIO RESFRIANTE,1,30
A  9588320415,TUBULACAO REFRIGERACAO (PRESSAO),1,30
A  9588690072,TAMPA DO RESERVATORIO,5,04E07
A  9588901019,CJ ABAFADOR DE VIBRACOES (ACO E BORRACHA,1,07E04
A  9589900082,ARRUELA ESPACADORA,4,01D07
A  9589900701,PARAFUSO SEXTAVADO COMBINADO C/ FLANGE,5,15E15
A  9589900801,PARAFUSO SEXTAVADO COMBINADO C/ FLANGE,1,01F04
A  9589900850,PORCA SEXTAVADA COM FLANGE,7,15A25
A  9589900901,PARAFUSO SEXTAVADO COMBINADO C/ FLANGE,4,15D09
A  95899501650097,SUP DE FIXACAO DA ABRACADEIRA,2,11B05
A  9602610680,VEDACAO DE ALUMINIO,1,16C08
A  9602620009,ENGRENAGEM CENTRAL DE ACO - CAMINHAO,2,19C07
A  9602623135,CORPO SINCRONIZADOR,3,06C11
A  9602623434,ANEL SINCRONIZADOR,1,03B10
A  9602623928,ESTRELA DE IMPULSO,1,21A16
A  9602625802,ARVORE PRIMARIA,1,ESTRADO 4
A  9602640205,ARVORE INTERMEDIARIA,2,06F02
A  9602650545,PLACA DE GUIA,3,20E18
A  9602676717,HASTE DE EMBOLO,1,03D03
A  9603000004,LU PEDAL DO ACELERADOR,1,23G12
A  9603171253,TUBO DISTANCIADOR,6,01H18
A  9603172512,COXIM DE BORRACHA,1,04B13
A  9603172812,LU ELEMENTO DE COXIM DE ELASTOM./METAL,4,21F13
A  9603200502,LU FOLHA DA MOLA EIXO DIANT,4,ESTRADO 0
A  9603200937,CJ TALA DO ESTABILIZADOR,3,14C07
A  9603204605,LU MOLA PARABOLICA,2,ESTRADO 0
A  9603231685,MANCAL DE ELASTOMERO,2,19C10
A  9603231900,AMORTECEDOR DO EIXO DIANTEIRO,1,13E07
A  9603232403,CONJUNTO AMORTECEDOR EIXO DIANTEIRO,1,07D06
A  9603233085,MANCAL DE ELASTOMERO,4,06I11
A  9603250496,MOLA ELASTICA DE CAMADAS MULTIPLAS,5,13D04
A  9603250596,MOLA ELASTICA CAMADAS MULTIPLAS-BORRACHA,2,ESTRADO 6
A  9603261781,COXIM DE ELASTOMERO/METAL,2,20E23
A  9603261881,COXIM DE BORRACHA,1,19E01
A  9603500805,BRACO DE FIXACAO C/ APOIO EM TRES PONTOS,2,ESTRADO 0
A  9603505505,LU BRACO DE FIXACAO C/APOIO TRES PONTOS,1,ESTRADO 6
A  9603505605,LU BRACO DE FIXACAO C/APOIO TRES PONTOS,1,ESTRADO 6
A  9604200013,TUBO DO AR COMPRIMIDO,1,30
A  9604200638,LU REGULADOR AUTOMATICO DO FREIO,1,23E21
A  9604200738,LU REGULADOR AUTOMATICO DO FREIO,1,21D20
A  9604300851,TUBO DE AR COMPRIMIDO,1,30
A  9604301151,TUBO DE AR COMPRIMIDO,1,19D17
A  9604602909,ZB FUSO DA DIRECAO QUADRO,1,17A04
A  9604665687,MANGUEIRA DE ALTA PRESSAO,1,07C04
A  96047553200064,PERFIL DE APOIO CINTA DE APERT,1,23G11
A  9604770503,CARTUCHO DO FILTRO DE COMBUSTIVEL,17,28D02
A  9604904859,CONDUTA DOS GASES DE ESCAPE TRASEIRO,1,ESTRADO 4
A  9604908950,CJ TUBULACAO GASES DE ESCAPE COMPL,1,30
A  9605017291,TUBO DE REFRIGERACAO DO RETARDADOR,1,21A12
A  9605202006,CAPSULA DO MOTOR SUP TRAS,1,17B02
A  9605205806,CJ TUBO DE ENCHIMENTO DO OLEO,1,18E10
A  9605289682,MANGUEIRA COM DOBRAS,1,27D06
A  9605410005,TAMPA DA CAIXA DE BATERIA,8,ESTRADO 6
A  9605420090,CAPA DE PROTECAO,1,03B06
A  96054210180039,SENSOR DESGASTE PASTILHA FREIO,1,06C04
A  9605421618,SENSOR DE DESGASTE ESQ.,1,03D16
A  9605421718,SENSOR DE DESGASTE DIR.,1,03F08
A  9605422518,SENSOR DE DESGASTE DIR.,3,20G27
A  9605422618,SENSOR DE DESGASTE DA PASTILHA DO FREIO,2,21A25
A  9605422718,SENSOR DE DESGASTE DA PASTILHA DO FREIO,1,19C11
A  9605452813,PAINEL DE COMANDO PORTA MOTORISTA,1,24D03
A  9605539782,MANGUEIRA DE ALTA PRESSAO,1,03D14
A  9606603228,ESTRIBO MOVEL ESQ,1,ESTRADO 4
A  9606603328,CJ. DEGRAU COMPLETO DIR,1,13E01
A  9606603428,CJ ESTRIBO RETRATIL,2,22G08
A  9606603628,CJ PLACA DE PISO SUP ENTRADA EMB DIR / 6,1,14E03
A  9606664937,REVESTIMENTO INF.PECA-SUP.ESQ.,1,ESTRADO 5
A  9606665428,DEGRAU / LONGO,2,20H14
A  9606666737,REVEST.INF DIR ESTRIBO ASH600 CAB 2500,1,21A06
A  9606666937,REVEST SUP DIR ESTRIBO ASH600 CAB2500,2,30
A  9606901601,LU CALHA LATERAL ESQ / CAB-M STANDARD,1,30
A  9606902570,REVESTIMENTO EXTERN COLUNA A LADO DIREIT,1,27A02
A  9607201146,LEVANTADOR DO VIDRO ESQ,1,ESTRADO 4
A  96075103300028,COBERTURA,1,27C03
A  9608102019,CJ ESPELHO EXTERIOR DIR,1,ESTRADO 4
A  96081033160098,CJ. ESPELHO EXTERNO ESQ,1,ESTRADO 5
A  9608112207,COBERTURA INFERIOR DO SUPORTE ESQUERDO,1,08D04
A  9608112407,COBERTURA SUPERIOR DO SUPORTE ESQUERDO,1,18B13
A  9608201106,COOLING BOX,1,SL
A  9608201956,FAROL DE NEBLINA ESQUERDO - AROCS,1,22C10
A  9608202156,FAROL DE NEBLINA,2,23I03
A  9608300618,FILTRO ANTI-POLEM DA CABINA,2,27E03
A  9608300818,FILTRO ANTI-POLEM DA CABINA,25,08E05
A  9608301118,ZB FILTRO DE POEIRA,5,ESTRADO 5
A  9608307886,LU TUBO DE SUCCAO,4,30
A  9608308177,CJ TUBO DE SUCCAO-ELASTOMERO CONEXOES,1,30
A  9608690766,CONEXAO,9,02D06
A  9608808663,REVESTIMENTO FAROL NEBLINA DIR,1,ESTRADO 4
A  9608811004,PARA-LAMA INFERIOR DIANTEIRO A ESQUERDA,1,30
A  9608812503,PARA LAMA NA FRENTE SUPERIOR A DIREITA,1,30
A  9608834001,DEGRAU LATERAL,1,13B03
A  9608834401,DEGRAU A ESQ NO PARA-CHOQUE DIANT,1,14D02
A  9609880142,LU FECHO DE PRESSAO / SEM FECHADURA,3,03E10
A  9609910071,TRAVA PLASTICA,15,05G05
A  9609920701,BUCHA DISTANCIADORA,1,06D13
A  9609980450,TAMPA EM PLASTICO,1,02H10
A  9613104155,LU ANTIVIBRADOR TRAS/ C/ CALM ACO/PLAST,1,14B05
A  9613107255,AMORTECEDOR DA CABINA,1,28A03
A  9613204321,CJ FOLE DA SUSPENSAO EIXO T ASEIRO,1,ESTRADO 4
A  9613260104,CONJUNTO AMORTECEDOR  DO EIXO TRASEIRO,2,07H02
A  9613530072,"PORCA - M40X1,5",2,04E18
A  9614200238,CJ REGULADOR AUTOMATICO ESQUERDO,1,23F11
A  9614200338,CJ REGULADOR AUTOMATICO DIREITO,1,23E15
A  9614201238,LU REGULADOR AUTOMATICO DO FREIO ESQ,6,08C05
A  9614201338,LU REGULADOR AUTOMATICO DO FREIO DIR,5,17D03
A  9614201438,LU REGULADOR AUTOMATICO DO FREIO ESQ,5,22A17
A  9614201538,LU REGULADOR AUTOMATICO DO FREIO DIR,7,08B05
A  9614900147,ZB TUBULACAO DOS GASES DE ESCAPE,5,30
A  9614903420,CJ TUBULACAO DE ESCAPAMENTO,2,30
A  9614903520,TUBULACAO DE ESCAPAMENTO CENTRAL,1,30
A  9614903620,TUBULACAO DE ESCAPAMENTO TRAS,1,30
A  96149044500064,TUBULACAO DOS GASES DE ESCAPE,3,ESTRADO 2
A  9614907250,CJ TUBULACAO DE ESCAPAMENTO COMPL,1,27E04
A  9615000002,LU RAD.AR.CARGA.AREF.AR / LLK70 87,1,ESTRADO 0
A  9615001000,LU RADIADOR AGENTE REFRIGER/K90 TRAD 87,1,ESTRADO 0
A  9615017182,LU MANGUEIRA MOLDADA ALIMENTACAO / VIAB,1,19B05
A  9615018693,LU MANGUEIRA MOLDADA / 45 GRAD,1,18C10
A  9615210201,CONJUNTO PARA-LAMAS EIXO TRASEIRO,1,ESTRADO 0
A  9615210301,CONJUNTO PARA-LAMAS EIXO TRASEIRO,1,ESTRADO 0
A  9615420018,SENSOR DE PRESSAO 12V,3,06D04
A  9616604214,SUPORTE,1,21B18
A  9616604714,SUPORTE DIANTEIRO DIREITO,2,22E07
A  9616662415,SUPORTE DIREITO,1,21C25
A  9616711310,LU PARA-BRISA WDG SPA CAB 2300,1,ESTRADO 1
A  9617270771,REVESTIMENTO DA PORTA,1,ESTRADO 4
A  9618204139,CJ FAROL HALOGENO CINZENTO DIREITO,1,ESTRADO 5
A  96183500470064,SECADOR DE ACO,1,07D05
A  9618800201,CJ DEGRAU PARA-CHOQUE CENTRAL COMPL,1,30
A  9618802965,CJ SUPORTE PARA-CHOQUE/DOBR.ARTIC.DIR,1,SL
A  9618857174,REVESTIMENTO ESQ PARA-CHOQUE ESTRIBO,1,22D10
A  9618857274,REVESTIMENTO DIR PARA-CHOQUE ESTRIBO,1,27E08
A  9624200097,CJ TUBO DE AR COMPRIMIDO,1,30
A  9624209449,TUBO DE AR COMPRIMIDO,1,19D15
A  9625014782,MANGUEIRA,1,05E05
A  96309218030098,CARCACA FILTRO SEPARADOR DE AGUA - 18 L/H,2,11B14
A  96309228030098,CARCACA ULTRAFILTRO SEPARADOR DE AGUA - 28 L/H - C,13,12D09
A  96342998350097,KIT MANGUEIRA INOX,1,30
A  96347722150097,ELEMENTO ULTRAFILTRO SEPARADOR,5,12A08
A  96347728150098,ELEMENTO ULTRAFILTRO SEPARADOR DE AGUA - 28 L/H,5,12C06
A  9635000391,LU TUBO DO OLEO,1,30
A  9644210110,JG LONAS DO FREIO 18.00 MM,1,27B05
A  9674200220,JOGO DE PECAS DE LONA DE FREIO,4,18B08
A  9677500184,FECHADURA DIREITA,1,21C05
A  9679810012,GAIOLA DE ROLETES,11,06F01
A  9702600298,JG.REPARO DA BUCHA DE ACO+BORRACHA,2,04H06
A  9702602054,LU PINO DE ARRASTE,2,16F15
A  9702610333,TAMPA,2,20B24
A  9702610533,TAMPA,1,20A23
A  9702620128,ANEL DE IMPULSAO,1,03D07
A  9702620274,PINO,14,04F18
A  9702622594,ANEL DE TRAVA,3,04B03
A  9702623034,ANEL SINCRONIZADOR D155,1,20G02
A  9702623134,ANEL SINCRONIZADOR D140,3,16D19
A  9703172085,FOLHA DE MOLA LAMINADA,1,23D02
A  9703230463,MANCAL,1,05A05
A  9704310042,PLACA,1,20B14
A  9705000449,TANQUE DE COMPENSACAO,1,ESTRADO 4
A  9705280182,MANGUEIRA DO FILTRO DE AR,2,21B11
A  9705450124,INTERRUPTOR CONTROLE NIVEL  AGUA AR,1,20G05
A  9709936401,MOLA DE ACO,4,01G01
A  9722610133,TAMPA,1,16A24
A  9733530025,ANEL PARA AJUSTAR ROSCA,1,09B06
A  9733530177,"ARRUELA DE AJUSTE 1,60 MM",2,02E02
A  9734603731,COLUNA DA DIRECAO / AJUSTAVEL,1,ESTRADO 4
A  9737200031,PINO DA FECHADURA,1,07B06
A  9737200737,CJ DOBRADICA ESQ,1,19F03
A  9737200837,CJ DOBRADICA DIR,1,03C05
A  9737201416,CJ SUPORTE DA PORTA ESQ,1,16A23
A  9737201516,CJ SUPORTE DA PORTA DIR,1,16D14
A  9737201846,CJ MECANISMO ELETRICO DO VIDRO DIR,1,27D02
A  9737500084,LU FECHADURA ESQ,1,16B31
A  9737600204,CJ CABO BOWDEN ESQ PUXADOR INTERNO,2,09D06
A  97376003040064,CJ CABO BOWDEN,3,05H03
A  9738350447,FILTRO ANTIPOLEN,2,08C06
A  9738840222,COBERTURA ESQ,1,30
A  9749970082,MANGUEIRA PREFORMADA LS6 DE ASPIRACAO,1,19I09
A  9762601438,CJ. HASTE DE MUDANCA COMPLETO,1,14A04
A  97626204620064,ARRUELA DISTANCIADORA ACO,1,16F14
A  9762621094,ANEL DE TRAVA,3,01D06
A  9762621594,ANEL DE TRAVA,2,02A01
A  9762631230,EIXO DA MARCHA A RE,1,03A06
A  9762690034,TUBULACAO DE OLEO,1,03D06
A  9763560073,TRAVA DE SEGURANCA DO CUBO,3,16B28
A  97635600730064,TRAVA DE SEGURANCA DO CUBO,73,04B04
A  9769810012,ROLAMENTO DE ROLETES,2,19E08
A  9793100473,ALAVANCA DE BLOQUEIO DA CABINA,2,21H24
A  9793170118,CABO DE BLOQUEIO DA CABINA,1,07G02
A  9793260500,LU AMORTECEDOR TRAS,4,ESTRADO 4
A  9793300303,BARRA DE LIGACAO,1,SL
A  9794770015,ELEMENTO FILTRO COMBUST. RACOR,2,17F03
A  97947700150097,FILTRO DE COMBUSTIVEL SEPARADOR DE AGUA,4,12B05
A  9795201186,COIFA BORRACHA DA ASPIRACAO DE AR,1,06H10
A  9795280006,ELEMENTO DO FILTRO DE AR,1,ESTRADO 6
A  9795420318,LU SENSOR DE PRESSAO,2,02B08
A  9796820001,ISOLACAO DO ASSOALHO,1,30
A  9797200946,CJ LEVANTADOR VIDRO ELETRICO DIR,1,28A08
A  97972304690064,BARRA TENSORA,1,05F05
A  9797607144,LU CABO DIR,1,17H03
A  9798240401,LU MOTOR DO LIMPADOR / 24V,1,19A06
A  9798840174,ANTEPARO ESQ.COBERTURA DO FAROL-BORRACHA,1,20B10
A  9799970046,RETENTOR,2,16B27
A  9799970086,TAMPA PLASTICA DA GRADE DO RADIADOR,1,02G05
A  9799970172,LU CONEXAO DO FILTRO DE COMBUSTIVEL,2,02B09
A  9799970182,MANGUEIRA ALIMENTACAO BOMBA DIRECAO 9T,1,20B04
A  9799970246,RETENTOR DE VEDACAO RADIAL,4,22A08
A  99001002000064,TAMPA DO BOCAL DE ABASTECIMENTO DE OLEO,9,16B24
A  9900160021,JUNTA DA TAMPA DO CABECOTE,2,22B14
A  9900180400,CONEXAO,1,02E13
A  9900530600,VEDACAO DA VALVULA,2,16B29
A  9900920108,TAMPA DO FILTRO DE COMBUSTIVEL,1,21B14
A  9901530128,MEDIDOR DO NIVEL DE OLEO,2,23D10
A  9901800010,LU FILTRO DE OLEO,1,21C04
A  9901802900,CJ TAMPA DO FILTRO DE OLEO,1,17E06
A  99050008000064,BUJAO ESGOTAMENTO AGUA RADIADOR-PLASTICO,2,02C13
A  9905450109,CHAVE TUCHO,1,20D17
A  9906900000,BUCHA DA JANELA TRASEIRA - PLASTICO,2,03F01
A  9909820019,JUNTA DE BORRACHA P/TERMINAL ELETRICO,100,05E06
A  9909820119,JUNTA DE BORRACHA P/TERMINAL ELETRICO,1,01F12
A  99098207260064,TERMINAL ELETRICO,64,20D13
A  9909820826,"TERMINAL 0,5-1,0 MM",24,20D08
A  9909820926,TERMINAL DE CONTATO,4,04A03
A  9909871100,TAMPAO DE BORRACHA,8,01I01
A  9909890400,OLEO DE MOTOR/SHELL HD 1297 - SAE 5W-30,714,ESTRADO 1
A  9909900010,"PARAFUSO 4,8X16-BAIXO CARBONO",4,04F14
A  9909900082,ARRUELA 8.4-140 HV,2,03C12
A  9909900106,"PARAFUSO 4,8X25-BAIXO CARBONO",3,15C14
A  9909900110,PARAFUSO DE CHAPA 4.8X19,21,15F18
A  9909900117,BUJAO ROSQUEADO - ACO,2,01F03
A  9909900209,PORCA M16X1 -MEDIO CARBONO,1,15D20
A  9909900210,"PARAFUSO 6,3X25-BAIXO CARBONO",3,15G07
A  99099003560064,PORCA - MEDIO CARBONO,2,02G04
A  9909900401,"PARAFUSO M14X1,5X60 - ACO LIGA",7,15C20
A  9909900601,PARAFUSO-M 8X25-ACO LIGA,6,15F17
A  9909900603,PARAFUSO M6X 16 - ACO LIGA,25,15E05
A  9909900807,PARAFUSO M5 X 12 - ACO LIGA,6,15A08
A  9909900808,PARAFUSO DO SUPORTE DO CATALIS-ACO MEDIO,1,04C01
A  9909901001,PARAFUSO MBN10105-M8X35-10.9 DBL9440.40,20,15F13
A  9909901017,PARAFUSO SEXTAVADO M8X30,4,01C12
A  9909901050,"PORCA - M8X1,5",6,15F24
A  9909901101,PARAFUSO MBN10105-M8X130-10.9 DBL9440.40,1,15C16
A  9909901103,PARAFUSO TORX E14,10,15A16
A  9909901150,PORCA SW16,6,15B30
A  9909901201,PARAFUSO M8X50-ACO LIGA,5,04E11
A  9909901250,"PORCA M 12X1,5 DBL9440",20,15A31
A  9909901309,"PARAFUSO M14X1,5X150 - ACO LIGA",4,15B08
A  9909901501,PARAF.SEXT M10X50 MBN 10105 DBL9440.40,12,15E11
A  9909901602,PARAFUSO - ACO LIGA,3,15A22
A  9909901801,PARAFUSO CAB SEXT M10X40-10.9 DBL9440.40,45,15G10
A  9909902101,"PARAFUSO M12X1,5X30-ACO LIGA",2,15E19
A  9909902901,"PARAFUSO M 14X1,5X65 DBL9440.40-ACO 10.9",1,15G09
A  9909903501,"PARAFUSO SW CM 14X1,5X80-ACO 10.9",10,15C28
A  9909903601,"PARAFUSO M 14X1,5X60",9,15B10
A  9909903627,PARAFUSO M 8X12,1,04H16
A  9909903801,PARAFUSO SEXTAVADO COM FLANGE,5,15H28
A  9909904200,BRACADEIRA,1,01D01
A  9909904418,"REBITE AK 4X11,05 N 10001",2,02I04
A  9909905906,PARAF.CABECA PANELA C/FENDA HEXALOBULAR,15,15D07
A  9909905907,PARAFUSO M8X22 - ACO LIGA,4,15D12
A  9909906204,CONEXAO EM T,19,16D32
A  9909906206,PARAFUSO - BAIXO CARBONO,4,02B04
A  9909906214,ANEL DE VEDACAO A 12X16 DIN 7603 ALUM,26,01G04
A  9909906706,PARAF.CABECA PANELA C/FENDA HEXALOBULAR,3,15F25
A  9909906914,ANEL DE VEDACAO A 12X17 DIN 7603,20,01A03
A  9909907023,"ANEL DE SEGURANCA  36 X1,5  DIN 472",1,03A14
A  9909907102,PARAFUSO DE CABECA LENTICULAR,10,04F19
A  9909907520,PORCA SW13,32,15H21
A  9909908120,PORCA N 13023-M 12-DBL944 - ACO LIGA,1,01E08
A  9909908218,PARAFUSO M6X30 - ACO LIGA,34,15E25
A  9909909518,PARAF SEXT. M10X45 10.9,10,15F15
A  9909909718,PARAFUSO CAB SEXT MBN 10105-CM10X120,4,15C17
A  9909940200,TRAVA DE ACO,5,16A32
A  9909940400,CHAPA DE SEGURANCA,2,01A06
A  9909947200,TRAVA,2,16C32
A  9909949000,TRAVA,4,03H10
A  9909949800,PORCA -MEDIO CARBONO,10,04H20
A  9909970001,JUNTA VEDACAO DO TUBO DO RADIADOR DE AR,10,04B19
A  9909970345,ANEL DE VEDACAO A 24X29 DIN7603-ALUMINIO,17,01B02
A  9909970445,ANEL-O,4,02C09
A  9909970507,GAXETA CIRCULAR,1,04I04
A  9909970545,ANEL DE VEDACAO,1,01H17
A  99099728020064,ANEL DE BORRACHA,2,04D13
A  9909974007,ABRACADEIRA DE PLASTICO,30,05F03
A  9909979907,ABRACADEIRA,1,04G20
A  9909980085,BUCHA PLASTICA,8,16E06
A  99909215030098,CARCACA ULTRAFILTRO SEPARADOR DE AGUA - 15 L/H - C,1,12F07
A  99914201890097,PRE FILTRO DE UREIA - ARLA32,14,11A12
A 0006830056    9B51,BOTAO TRAVA PAINEL INSTRUMENTOS-PLASTIC.,17,16D02
A 0008310541    5C37,COBERTURA,1,30
A 0009890925    DRA6,ANTICORROSIVO ANTICONGELANTE 325.6 (GLYSANTIN G40),190,LUBRI
A 0009899801    BRA5,BALDE DE OLEO,17,ESTRADO 2
A 0009905992    9051,REBITE - POLIAMIDA,3,01C14
A 003490069200800001,KIT DE PECAS DPF- 6 CIL.,1,ESTRADO 5
A 007151590100800001,MOTOR DE PARTIDA 24V,1,22A13
A 3818140001    7D66,CABIDE (PLASTICO ABA),1,02E05
A 3842687757    9985,TAMPA- PRETA,1,16E24
A 38426893700090,BLOCO ROSCADO UNC 1/4,6,11B06
A 3862607196    9985,CONJ.CAPA PROT.-PRETO,2,22A09
A 651070498700800001,INJETOR PARA COMMON RAIL,2,20C26
A 6887607002    5018,MANIVELA ( AZUL ESCURO ),5,19F10
A 6889907092    7D66,REBITE PLASTICO - CINZA,1,15G04
A 6889907092    9985,REBITE - PRETO BRILHANTE,8,06H11
A 6954627043    9985,CONCHA DE REVESTIMENTO.,1,20B20
A 6955401245    9985,CJ.CHAVE DE SETA ESQ. PRETO,2,23E01
